Huc 4th Name,Huc 5th Name,Huc 6th Code,Huc 6th Name,Total HUC Area   ,FS HUC Area,Total Perennial Stream Length,Total ECA Area,Perennial Stream Length Under Non-shading Covertypes,0 - 2% Gradient Perennial Stream Length,0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Perennial Stream Length w/in 300' of Roads,Total Road Length,Number of Barriers on 2nd Order Streams,Number of Barriers on 3rd+ Order Streams,Portion of HUC over External FS Boundary ,Portion of Watershed in ECA,Portion of Perennial Streams under Non-shading Covertype,Portion of Total 0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Portion of Total Perennial Stream Length w/in 300' of Roads,Road Density,Number of Barriers on 2nd Order Streams,Number of Barriers on 3rd+ Order Streams,Portion of Watershed in ECA,Portion of Perennial Streams under Non-shading Covertype,Portion of Total 0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Portion of Total Perennial Stream Length w/in 300' of Roads,Road Density Rating,Barriers by Stream Order  Rating,RCA,Drainage Network,Road Density / Location,Barriers,Large Woody Debris,Sediment,Embeddedness,Temperature,Off-channel Habitat,Floodplain Connectivity,Streambank Stability,Width-Depth Ratio,Peak/Base Flows,Pool Frequency/Quality,Large Pools,INTEGRATED 6th Level HUC Rating
Flint-Rock,West Fork Rock Creek,170102021004,Lower West Fork Rock Creek,22571.88867,14848.11523,10.84985733,288.5715356,3.886822939,1.252128601,0.089876682,3.543938637,51.76921463,0,0,65.7814481,1.943489333,35.82372395,7.177911432,32.66345841,2.231414348,0,0,FA,FUR,FAR,FUR,FAR,FA,FUR,FAR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
Flint-Rock,Middle Flint Creek,170102020203,Marshall Creek,12854.08496,3662.065918,0.890594244,77.82209055,0,0,0,0,18.57452011,0,0,28.48951076,2.125087104,0,0,0,3.246171188,0,0,FA,FA,FA,FA,FUR,FA,FA,FUR,FAR,FA,FA,FUR,FUR,FA,FA,FUR,FUR,FUR,FUR,FAR,FAR,FUR
Upper Clark Fork,Headwaters Silver Bow Creek ,170102010205,McCleery Gulch-Silver Bow Creek,39102.26563,7042.658203,0.921333313,108.2368717,0.098803431,0.098803625,0,0,27.33591461,0,0,18.01086993,1.536875262,10.72396163,0,0,2.484145169,0,0,FA,FAR,FA,FA,FUR,FA,FA,FUR,FAR,FA,FAR,FUR,FUR,FAR,FAR,FUR,FUR,FUR,FUR,FAR,FAR,FUR
Flint-Rock,East Fork Rock Creek,170102020702,Meadow Creek,14860.28223,13786.48438,13.77709389,178.2735946,0,0.097376242,0.097376242,6.409796238,43.4847908,2,0,92.77404134,1.293104099,0,100,46.52502399,2.018663014,2,0,FA,FA,FUR,FUR,FAR,FAR,FUR,FAR,FUR,FAR,FAR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FAR,FAR,FAR,FUR
Flint-Rock,Middle Fork Rock Creek,170102020804,Middle Middle Fork Rock Creek,13982.20117,13721.35156,20.31723595,4293.744711,9.217507362,6.71576786,6.71576786,4.167190075,27.78817177,2,0,98.1344167,31.29243276,45.36792005,100,20.51061515,1.296113568,2,0,FAR,FUR,FUR,FUR,FAR,FAR,FUR,FAR,FUR,FAR,FUR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
Flint-Rock,Ross Fork-Rock Creek,170102020902,Middle Ross Fork ,25003.71484,24861.71875,38.7287178,1975.447165,7.723184109,7.55099678,7.55099678,2.159223557,13.13677216,1,1,99.43210003,7.945738526,19.94175007,100,5.575251854,0.338171881,1,1,FA,FAR,FUR,FAR,FA,FUR,FUR,FA,FAR,FUR,FAR,FAR,FAR,FA,FUR,FAR,FAR,FAR,FA,FAR,FAR,FUR
Flint-Rock,Upper Willow Creek,170102021103,Middle Upper Willow Creek,19286.83008,9939.758789,3.028657913,2866.277051,0.170410454,0,0,0.198167995,13.37112617,0,0,51.53650832,28.83648499,5.626599599,0,6.543096008,0.860938472,0,0,FAR,FA,FA,FAR,FA,FA,FAR,FA,FAR,FA,FA,FAR,FAR,FA,FAR,FAR,FAR,FAR,FAR,FA,FA,FAR
Flint-Rock,West Fork Rock Creek,170102021003,Middle West Fork Rock Creek,12092.61523,12089.11328,14.57429314,136.7643627,5.915258884,3.897731781,3.051968336,8.333666801,22.04825974,0,0,99.97104059,1.131301854,40.586935,78.30113788,57.18058997,1.167239144,0,0,FA,FUR,FUR,FUR,FAR,FA,FUR,FAR,FUR,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
Flint-Rock,Upper Flint Creek ,170102020102,North Fork Flint Creek,9289.878906,6794.281738,3.581385612,140.673371,0.248431683,0.496447116,0,1.220889211,31.51810074,0,0,73.13638646,2.070467143,6.93674767,0,34.08985636,2.968906097,0,0,FA,FA,FA,FUR,FUR,FA,FAR,FUR,FUR,FA,FAR,FUR,FUR,FA,FAR,FUR,FUR,FUR,FUR,FAR,FAR,FUR
Flint-Rock,Lower Willow Creek,170102020403,North Fork Lower Willow Creek,19475.62695,9320.931641,19.01661301,104.4306966,0.025402531,0,0,3.338264465,24.30784607,1,0,47.85946899,1.120389041,0.133580733,0,17.5544639,1.669041474,1,0,FA,FA,FA,FUR,FAR,FAR,FAR,FAR,FUR,FAR,FAR,FUR,FUR,FA,FAR,FUR,FAR,FAR,FAR,FAR,FAR,FUR
